wpp,file_group,VarID,Variant,col_name
2022,Demographic_Indicators,10,Momentum,SortOrder
2022,Demographic_Indicators,10,Momentum,LocID
2022,Demographic_Indicators,10,Momentum,Notes
2022,Demographic_Indicators,10,Momentum,ISO3_code
2022,Demographic_Indicators,10,Momentum,ISO2_code
2022,Demographic_Indicators,10,Momentum,SDMX_code
2022,Demographic_Indicators,10,Momentum,LocTypeID
2022,Demographic_Indicators,10,Momentum,LocTypeName
2022,Demographic_Indicators,10,Momentum,ParentID
2022,Demographic_Indicators,10,Momentum,Location
2022,Demographic_Indicators,10,Momentum,Time
2022,Demographic_Indicators,10,Momentum,TPopulation1Jan
2022,Demographic_Indicators,10,Momentum,TPopulation1July
2022,Demographic_Indicators,10,Momentum,TPopulationMale1July
2022,Demographic_Indicators,10,Momentum,TPopulationFemale1July
2022,Demographic_Indicators,10,Momentum,PopDensity
2022,Demographic_Indicators,10,Momentum,PopSexRatio
2022,Demographic_Indicators,10,Momentum,MedianAgePop
2022,Demographic_Indicators,10,Momentum,NatChange
2022,Demographic_Indicators,10,Momentum,NatChangeRT
2022,Demographic_Indicators,10,Momentum,PopChange
2022,Demographic_Indicators,10,Momentum,PopGrowthRate
2022,Demographic_Indicators,10,Momentum,DoublingTime
2022,Demographic_Indicators,10,Momentum,Births
2022,Demographic_Indicators,10,Momentum,Births1519
2022,Demographic_Indicators,10,Momentum,CBR
2022,Demographic_Indicators,10,Momentum,TFR
2022,Demographic_Indicators,10,Momentum,NNR
2022,Demographic_Indicators,10,Momentum,MAC
2022,Demographic_Indicators,10,Momentum,SRB
2022,Demographic_Indicators,10,Momentum,Deaths
2022,Demographic_Indicators,10,Momentum,DeathsMale
2022,Demographic_Indicators,10,Momentum,DeathsFemale
2022,Demographic_Indicators,10,Momentum,CDR
2022,Demographic_Indicators,10,Momentum,LEx
2022,Demographic_Indicators,10,Momentum,LExMale
2022,Demographic_Indicators,10,Momentum,LExFemale
2022,Demographic_Indicators,10,Momentum,LE15
2022,Demographic_Indicators,10,Momentum,LE15Male
2022,Demographic_Indicators,10,Momentum,LE15Female
2022,Demographic_Indicators,10,Momentum,LE65
2022,Demographic_Indicators,10,Momentum,LE65Male
2022,Demographic_Indicators,10,Momentum,LE65Female
2022,Demographic_Indicators,10,Momentum,LE80
2022,Demographic_Indicators,10,Momentum,LE80Male
2022,Demographic_Indicators,10,Momentum,LE80Female
2022,Demographic_Indicators,10,Momentum,InfantDeaths
2022,Demographic_Indicators,10,Momentum,IMR
2022,Demographic_Indicators,10,Momentum,LBsurvivingAge1
2022,Demographic_Indicators,10,Momentum,Under5Deaths
2022,Demographic_Indicators,10,Momentum,Q5
2022,Demographic_Indicators,10,Momentum,Q0040
2022,Demographic_Indicators,10,Momentum,Q0040Male
2022,Demographic_Indicators,10,Momentum,Q0040Female
2022,Demographic_Indicators,10,Momentum,Q0060
2022,Demographic_Indicators,10,Momentum,Q0060Male
2022,Demographic_Indicators,10,Momentum,Q0060Female
2022,Demographic_Indicators,10,Momentum,Q1550
2022,Demographic_Indicators,10,Momentum,Q1550Male
2022,Demographic_Indicators,10,Momentum,Q1550Female
2022,Demographic_Indicators,10,Momentum,Q1560
2022,Demographic_Indicators,10,Momentum,Q1560Male
2022,Demographic_Indicators,10,Momentum,Q1560Female
2022,Demographic_Indicators,10,Momentum,NetMigrations
2022,Demographic_Indicators,10,Momentum,CNMR
2022,Demographic_Indicators,16,Instant replacement zero migration,SortOrder
2022,Demographic_Indicators,16,Instant replacement zero migration,LocID
2022,Demographic_Indicators,16,Instant replacement zero migration,Notes
2022,Demographic_Indicators,16,Instant replacement zero migration,ISO3_code
2022,Demographic_Indicators,16,Instant replacement zero migration,ISO2_code
2022,Demographic_Indicators,16,Instant replacement zero migration,SDMX_code
2022,Demographic_Indicators,16,Instant replacement zero migration,LocTypeID
2022,Demographic_Indicators,16,Instant replacement zero migration,LocTypeName
2022,Demographic_Indicators,16,Instant replacement zero migration,ParentID
